字詞號,字詞名,部首字,部首外筆劃數,總筆劃數,注音一式
00001,八,八,0,2,ㄅㄚ
00002,扒,手,2,5,(一)ㄅㄚ
00003,叭,口,2,5,ㄅㄚ
00004,巴,己,1,4,ㄅㄚ
00005,吧,口,4,7,(一)ㄅㄚ
00006,芭,艸,4,8,ㄅㄚ
00007,疤,疒,4,9,ㄅㄚ
00008,羓,羊,4,10,ㄅㄚ
00009,粑,米,4,10,ㄅㄚ
00010,笆,竹,4,10,ㄅㄚ
00011,豝,豕,4,11,ㄅㄚ
00012,鈀,金,4,12,(二)ㄅㄚ
00013,捌,手,7,10,ㄅㄚ
00014,拔,手,5,8,ㄅㄚˊ
00015,茇,艸,5,9,(一)ㄅㄚˊ
00016,胈,肉,5,9,ㄅㄚˊ
00017,軷,車,5,12,(一)ㄅㄚˊ
00018,菝,艸,8,12,ㄅㄚˊ
00019,跋,足,5,12,ㄅㄚˊ
00020,鈸,金,5,13,(一)ㄅㄚˊ
00021,魃,鬼,5,15,ㄅㄚˊ
00022,鼥,鼠,5,18,ㄅㄚˊ
00023,把,手,4,7,(一)ㄅㄚˇ
00024,鈀,金,4,12,(一)ㄅㄚˇ
00025,靶,革,4,13,ㄅㄚˇ
00026,把,手,4,7,(二)ㄅㄚˋ
00027,弝,弓,4,7,ㄅㄚˋ
00028,爸,父,4,8,ㄅㄚˋ
00029,耙,耒,4,10,(二)（又音）ㄅㄚˋ
00030,伯,人,5,7,(三)ㄅㄚˋ
00031,罷,网,10,15,(一)ㄅㄚˋ
00032,矲,矢,15,20,ㄅㄚˋ
00033,霸,雨,13,21,(一)ㄅㄚˋ
00034,灞,水,21,24,ㄅㄚˋ
00035,壩,土,21,24,ㄅㄚˋ
00036,吧,口,4,7,(二)˙ㄅㄚ
00037,杷,木,4,8,(二)（又音）˙ㄅㄚ
00038,琶,玉,8,12,(二)（又音）˙ㄅㄚ
00039,罷,网,10,15,(二)˙ㄅㄚ
00040,癶,癶,0,5,ㄅㄛ
00041,撥,手,12,15,ㄅㄛ
00042,蹳,足,12,19,ㄅㄛ
00043,鱍,魚,12,23,ㄅㄛ
00044,波,水,5,8,(一)ㄅㄛ
00045,玻,玉,5,9,ㄅㄛ
00046,啵,口,8,11,(一)ㄅㄛ
00047,菠,艸,8,12,ㄅㄛ
00048,碆,石,8,13,(一)ㄅㄛ
00049,砵,石,5,10,ㄅㄛ
00050,缽,缶,5,11,ㄅㄛ
00051,趵,足,3,10,(二)ㄅㄛ
00052,般,舟,4,10,(三)ㄅㄛ
00053,剝,刀,8,10,(一)（讀音）ㄅㄛ
00054,嶓,山,12,15,ㄅㄛ
00055,餑,食,7,15,ㄅㄛ
00056,嚗,口,15,18,ㄅㄛ
00057,犮,犬,1,5,ㄅㄛˊ
00058,軷,車,5,12,(二)（又音）ㄅㄛˊ
00059,鈸,金,5,13,(二)（又音）ㄅㄛˊ
00060,白,白,0,5,(二)（讀音）ㄅㄛˊ
00061,百,白,1,6,(二)（讀音）ㄅㄛˊ
00062,伯,人,5,7,(一)（讀音）ㄅㄛˊ
00063,泊,水,5,8,(一)ㄅㄛˊ
00064,拍,手,5,8,(四)ㄅㄛˊ
00065,佰,人,6,8,(二)（讀音）ㄅㄛˊ
00066,帛,巾,5,8,ㄅㄛˊ
00067,柏,木,5,9,(一)（讀音）ㄅㄛˊ
00068,舶,舟,5,11,ㄅㄛˊ
00069,鉑,金,5,13,ㄅㄛˊ
00070,箔,竹,8,14,ㄅㄛˊ
00071,彴,彳,3,6,(二)ㄅㄛˊ
00072,瓝,瓜,3,9,ㄅㄛˊ
00073,孛,子,4,7,(一)ㄅㄛˊ
00074,勃,力,7,9,ㄅㄛˊ
00075,浡,水,7,10,ㄅㄛˊ
00076,悖,心,7,10,(一)ㄅㄛˊ
00077,挬,手,7,10,ㄅㄛˊ
00078,郣,邑,7,10,ㄅㄛˊ
00079,桲,木,7,11,ㄅㄛˊ
00080,荸,艸,7,11,(二)（又音）ㄅㄛˊ
00081,脖,肉,7,11,ㄅㄛˊ
00082,渤,水,9,12,ㄅㄛˊ
00083,葧,艸,9,13,ㄅㄛˊ
00084,馞,香,7,16,ㄅㄛˊ
00085,鵓,鳥,7,18,ㄅㄛˊ
00086,&fa76._104_0.gif;,鬲,13,23,(二)（讀音）ㄅㄛˊ
00087,瓟,瓜,5,10,(一)ㄅㄛˊ
00088,雹,雨,5,13,(二)（又音）ㄅㄛˊ
00089,骲,骨,5,15,ㄅㄛˊ
00090,博,十,10,12,ㄅㄛˊ
00091,搏,手,10,13,ㄅㄛˊ
00092,猼,犬,10,13,(一)ㄅㄛˊ
00093,膊,肉,10,14,ㄅㄛˊ
00094,薄,艸,13,17,(一)（讀音）ㄅㄛˊ
00095,簙,竹,12,18,ㄅㄛˊ
00096,鎛,金,10,18,ㄅㄛˊ
00097,餺,食,10,18,ㄅㄛˊ
00098,簿,竹,13,19,(二)ㄅㄛˊ
00099,髆,骨,10,20,ㄅㄛˊ
00100,欂,木,17,21,ㄅㄛˊ
00101,礴,石,17,22,ㄅㄛˊ
00102,鑮,金,17,25,ㄅㄛˊ
00103,菔,艸,8,12,(一)ㄅㄛˊ
00104,駁,馬,4,14,ㄅㄛˊ
00105,僰,人,12,14,ㄅㄛˊ
00106,蔔,艸,11,15,(一)（讀音）ㄅㄛˊ
00107,踣,足,8,15,ㄅㄛˊ
00108,駮,馬,6,16,ㄅㄛˊ
00109,謈,言,10,17,(三)（又音）ㄅㄛˊ
00110,懪,心,15,18,ㄅㄛˊ
00111,爆,火,15,19,(二)ㄅㄛˊ
00112,襮,衣,15,20,ㄅㄛˊ
00113,鸔,鳥,15,26,ㄅㄛˊ
00114,濼,水,15,18,(二)ㄅㄛˊ
00115,襏,衣,12,18,ㄅㄛˊ
00116,糪,米,13,19,ㄅㄛˊ
00117,跛,足,5,12,(一)ㄅㄛˇ
00118,簸,竹,13,19,(一)ㄅㄛˇ
00119,北,匕,3,5,(二)（讀音）ㄅㄛˋ
00120,㓦,刀,6,8,ㄅㄛˋ
00121,亳,亠,8,10,ㄅㄛˋ
00122,捭,手,8,11,(二)ㄅㄛˋ
00123,播,手,12,15,ㄅㄛˋ
00124,薄,艸,13,17,(三)ㄅㄛˋ
00125,薜,艸,13,17,(二)ㄅㄛˋ
00126,擘,手,13,17,ㄅㄛˋ
00127,蘗,艸,17,21,ㄅㄛˋ
00128,簸,竹,13,19,(二)ㄅㄛˋ
00129,啵,口,8,11,(二)（又音）˙ㄅㄛ
00130,蔔,艸,11,15,(二)（語音）˙ㄅㄛ
00131,掰,手,8,12,ㄅㄞ
00132,白,白,0,5,(一)（語音）ㄅㄞˊ
00133,百,白,1,6,(一)（語音）ㄅㄞˇ
00134,伯,人,5,7,(二)（語音）ㄅㄞˇ
00135,佰,人,6,8,(一)（語音）ㄅㄞˇ
00136,柏,木,5,9,(二)（語音）ㄅㄞˇ
00137,把,手,4,7,(三)ㄅㄞˇ
00138,捭,手,8,11,(一)ㄅㄞˇ
00139,擺,手,15,18,ㄅㄞˇ
00140,襬,衣,15,21,(二)ㄅㄞˇ
00141,拜,手,5,9,ㄅㄞˋ
00142,唄,口,7,10,(一)ㄅㄞˋ
00143,敗,攴,7,11,ㄅㄞˋ
00144,稗,禾,8,13,ㄅㄞˋ
00145,粺,米,8,14,ㄅㄞˋ
00146,杯,木,4,8,ㄅㄟ
00147,盃,皿,4,9,ㄅㄟ
00148,桮,木,7,11,ㄅㄟ
00149,卑,十,6,8,ㄅㄟ
00150,俾,人,8,10,(二)（又音）ㄅㄟ
00151,庳,广,8,11,(二)ㄅㄟ
00152,埤,土,8,11,(四)ㄅㄟ
00153,椑,木,8,12,(一)ㄅㄟ
00154,萆,艸,8,12,(一)ㄅㄟ
00155,碑,石,8,13,ㄅㄟ
00156,箄,竹,8,14,(二)ㄅㄟ
00157,鞞,革,8,17,(二)ㄅㄟ
00158,鵯,鳥,8,19,ㄅㄟ
00159,背,肉,5,9,(二)ㄅㄟ
00160,揹,手,9,12,ㄅㄟ
00161,悲,心,8,12,ㄅㄟ
00162,藣,艸,15,19,ㄅㄟ
00163,襬,衣,15,21,(一)ㄅㄟ
00164,北,匕,3,5,(一)（語音）ㄅㄟˇ
00165,鉳,金,5,13,ㄅㄟˇ
00166,北,匕,3,5,(三)ㄅㄟˋ
00167,邶,邑,5,8,ㄅㄟˋ
00168,背,肉,5,9,(一)ㄅㄟˋ
00169,偝,人,9,11,ㄅㄟˋ
00170,褙,衣,9,15,ㄅㄟˋ
00171,孛,子,4,7,(二)ㄅㄟˋ
00172,悖,心,7,10,(二)ㄅㄟˋ
00173,誖,言,7,14,ㄅㄟˋ
00174,貝,貝,0,7,ㄅㄟˋ
00175,狽,犬,7,10,ㄅㄟˋ
00176,萯,艸,9,13,(二)ㄅㄟˋ
00177,鋇,金,7,15,ㄅㄟˋ
00178,怫,心,5,8,(二)ㄅㄟˋ
00179,牬,牛,4,8,ㄅㄟˋ
00180,茇,艸,5,9,(二)ㄅㄟˋ
00181,倍,人,8,10,ㄅㄟˋ
00182,焙,火,8,12,ㄅㄟˋ
00183,碚,石,8,13,ㄅㄟˋ
00184,蓓,艸,10,14,ㄅㄟˋ
00185,被,衣,5,11,(一)ㄅㄟˋ
00186,婢,女,8,11,(二)（又音）ㄅㄟˋ
00187,貏,豸,8,15,(二)（又音）ㄅㄟˋ
00188,琲,玉,8,12,ㄅㄟˋ
00189,輩,車,8,15,ㄅㄟˋ
00190,備,人,10,12,ㄅㄟˋ
00191,&fa67._104_0.gif;,木,10,14,ㄅㄟˋ
00192,犕,牛,10,14,ㄅㄟˋ
00193,糒,米,10,16,ㄅㄟˋ
00194,憊,心,12,16,ㄅㄟˋ
00195,鞴,革,10,19,ㄅㄟˋ
00196,僻,人,13,15,(二)（語音）ㄅㄟˋ
00197,避,辵,13,17,(二)（又音）ㄅㄟˋ
00198,臂,肉,13,17,(二)（又音）ㄅㄟˋ
00199,奰,大,15,18,ㄅㄟˋ
00200,唄,口,7,10,(二)˙ㄅㄟ
00201,勹,勹,0,2,ㄅㄠ
00202,包,勹,3,5,ㄅㄠ
00203,孢,子,5,8,ㄅㄠ
00204,炮,火,5,9,(三)ㄅㄠ
00205,枹,木,5,9,(三)ㄅㄠ
00206,苞,艸,5,9,ㄅㄠ
00207,胞,肉,5,9,ㄅㄠ
00208,鞄,革,5,14,(二)ㄅㄠ
00209,齙,齒,5,20,(一)（語音）ㄅㄠ
00210,剝,刀,8,10,(二)（語音）ㄅㄠ
00211,煲,火,9,13,ㄅㄠ
00212,褒,衣,9,15,ㄅㄠ
00213,雹,雨,5,13,(一)ㄅㄠˊ
00214,薄,艸,13,17,(二)（語音）ㄅㄠˊ
00215,保,人,7,9,ㄅㄠˇ
00216,堡,土,9,12,(一)ㄅㄠˇ
00217,媬,女,9,12,ㄅㄠˇ
00218,葆,艸,9,13,ㄅㄠˇ
00219,褓,衣,9,14,ㄅㄠˇ
00220,飽,食,5,13,ㄅㄠˇ
00221,鴇,鳥,4,15,ㄅㄠˇ
00222,寶,宀,17,20,ㄅㄠˇ
00223,刨,刀,5,7,(二)ㄅㄠˋ
00224,抱,手,5,8,ㄅㄠˋ
00225,菢,艸,8,12,ㄅㄠˋ
00226,鉋,金,5,13,ㄅㄠˋ
00227,鮑,魚,5,16,ㄅㄠˋ
00228,趵,足,3,10,(一)ㄅㄠˋ
00229,豹,豸,3,10,ㄅㄠˋ
00230,報,土,9,12,ㄅㄠˋ
00231,暴,日,11,15,(一)ㄅㄠˋ
00232,謈,言,10,17,(二)（又音）ㄅㄠˋ
00233,儤,人,15,17,ㄅㄠˋ
00234,瀑,水,15,18,(二)ㄅㄠˋ
00235,爆,火,15,19,(一)ㄅㄠˋ
00236,犦,牛,15,19,ㄅㄠˋ
00237,虣,虍,10,16,ㄅㄠˋ
00238,扳,手,4,7,(一)ㄅㄢ
00239,班,玉,6,10,ㄅㄢ
00240,斑,文,8,12,ㄅㄢ
00241,般,舟,4,10,(一)ㄅㄢ
00242,搬,手,10,13,ㄅㄢ
00243,瘢,疒,10,15,ㄅㄢ
00244,螌,虫,10,16,ㄅㄢ
00245,斒,文,9,13,ㄅㄢ
00246,頒,頁,4,13,ㄅㄢ
00247,坂,土,4,7,ㄅㄢˇ
00248,阪,阜,4,7,ㄅㄢˇ
00249,板,木,4,8,ㄅㄢˇ
00250,昄,日,4,8,ㄅㄢˇ
00251,版,片,4,8,ㄅㄢˇ
00252,粄,米,4,10,ㄅㄢˇ
00253,舨,舟,4,10,ㄅㄢˇ
00254,鈑,金,4,12,ㄅㄢˇ
00255,蝂,虫,8,14,ㄅㄢˇ
00256,闆,門,9,17,ㄅㄢˇ
00257,爿,爿,0,4,(二)ㄅㄢˋ
00258,半,十,3,5,ㄅㄢˋ
00259,伴,人,5,7,ㄅㄢˋ
00260,拌,手,5,8,(一)ㄅㄢˋ
00261,絆,糸,5,11,ㄅㄢˋ
00262,扮,手,4,7,ㄅㄢˋ
00263,魬,魚,4,15,ㄅㄢˋ
00264,辦,辛,9,16,ㄅㄢˋ
00265,瓣,瓜,14,19,ㄅㄢˋ
00266,奔,大,5,8,(一)ㄅㄣ
00267,錛,金,8,16,ㄅㄣ
00268,賁,貝,5,12,(二)ㄅㄣ
00269,本,木,1,5,ㄅㄣˇ
00270,苯,艸,5,9,ㄅㄣˇ
00271,畚,田,5,10,ㄅㄣˇ
00272,坌,土,4,7,ㄅㄣˋ
00273,奔,大,5,8,(二)ㄅㄣˋ
00274,逩,辵,8,12,ㄅㄣˋ
00275,笨,竹,5,11,ㄅㄣˋ
00276,邦,邑,4,7,ㄅㄤ
00277,梆,木,7,11,ㄅㄤ
00278,傍,人,10,12,(三)ㄅㄤ
00279,幫,巾,14,17,ㄅㄤ
00280,綁,糸,7,13,ㄅㄤˇ
00281,榜,木,10,14,(一)ㄅㄤˇ
00283,牓,片,10,14,ㄅㄤˇ
00284,膀,肉,10,14,(一)ㄅㄤˇ
00285,並,一,7,8,(二)ㄅㄤˋ
00286,玤,玉,4,8,ㄅㄤˋ
00287,蚌,虫,4,10,(一)ㄅㄤˋ
00288,旁,方,6,10,(二)ㄅㄤˋ
00289,傍,人,10,12,(一)ㄅㄤˋ
00290,徬,彳,10,13,(二)ㄅㄤˋ
00290A,蒡,艸,10,14,ㄅㄤˋ
00291,膀,肉,10,14,(三)ㄅㄤˋ
00292,磅,石,10,15,(一)ㄅㄤˋ
00293,謗,言,10,17,ㄅㄤˋ
00294,鎊,金,10,18,ㄅㄤˋ
00295,棓,木,8,12,(二)ㄅㄤˋ
00296,棒,木,8,12,ㄅㄤˋ
00297,祊,示,4,9,ㄅㄥ
00298,崩,山,8,11,ㄅㄥ
00299,弸,弓,8,11,(二)（又音）ㄅㄥ
00300,繃,糸,11,17,(一)ㄅㄥ
00301,絣,糸,6,12,ㄅㄥ
00302,甭,用,4,9,ㄅㄥˊ
00303,琫,玉,8,12,ㄅㄥˇ
00304,菶,艸,8,12,ㄅㄥˇ
00305,繃,糸,11,17,(二)ㄅㄥˇ
00306,泵,水,5,9,ㄅㄥˋ
00307,迸,辵,6,10,(一)ㄅㄥˋ
00308,蚌,虫,4,10,(二)（又音）ㄅㄥˋ
00309,堋,土,8,11,(一)ㄅㄥˋ
00310,繃,糸,11,17,(三)ㄅㄥˋ
00311,蹦,足,11,18,ㄅㄥˋ
00312,榜,木,10,14,(二)ㄅㄥˋ
00313,磅,石,10,15,(二)ㄅㄥˋ
00314,屄,尸,5,8,ㄅㄧ
00315,偪,人,9,11,(一)ㄅㄧ
00315A,幅,巾,9,12,(二)ㄅㄧ
00316,逼,辵,9,13,(一)ㄅㄧ
00317,荸,艸,7,11,(一)ㄅㄧˊ
00318,鼻,鼻,0,14,ㄅㄧˊ
00319,匕,匕,0,2,ㄅㄧˇ
00320,比,比,0,4,(一)ㄅㄧˇ
00321,沘,水,4,7,ㄅㄧˇ
00322,妣,女,4,7,ㄅㄧˇ
00323,秕,禾,4,9,ㄅㄧˇ
00324,佊,人,5,7,ㄅㄧˇ
00325,彼,彳,5,8,ㄅㄧˇ
00326,咇,口,5,8,(二)ㄅㄧˇ
00327,筆,竹,6,12,ㄅㄧˇ
00328,鄙,邑,11,14,(一)ㄅㄧˇ
00329,貏,豸,8,15,(一)ㄅㄧˇ
00330,比,比,0,4,(二)ㄅㄧˋ
00331,庇,广,4,7,ㄅㄧˋ
00332,吡,口,4,7,(一)ㄅㄧˋ
00333,芘,艸,4,8,(一)ㄅㄧˋ
00334,狴,犬,7,10,ㄅㄧˋ
00335,陛,阜,7,10,ㄅㄧˋ
00336,梐,木,7,11,ㄅㄧˋ
00337,蜌,虫,7,13,ㄅㄧˋ
00338,蓖,艸,10,14,ㄅㄧˋ
00339,篦,竹,10,16,ㄅㄧˋ
00340,鎞,金,10,18,(二)ㄅㄧˋ
00341,必,心,1,5,ㄅㄧˋ
00342,泌,水,5,8,(二)（又音）ㄅㄧˋ
00343,怭,心,5,8,ㄅㄧˋ
00344,邲,邑,5,8,ㄅㄧˋ
00345,咇,口,5,8,(三)ㄅㄧˋ
00346,珌,玉,5,9,ㄅㄧˋ
00347,柲,木,5,9,ㄅㄧˋ
00348,苾,艸,5,9,ㄅㄧˋ
00349,毖,比,5,9,ㄅㄧˋ
00350,祕,示,5,10,(二)（又音）ㄅㄧˋ
00351,秘,禾,5,10,(二)（又音）ㄅㄧˋ
00352,閟,門,5,13,ㄅㄧˋ
00353,鉍,金,5,13,ㄅㄧˋ
00354,飶,食,5,13,ㄅㄧˋ
00355,馝,香,5,14,ㄅㄧˋ
00356,駜,馬,5,15,ㄅㄧˋ
00357,鮅,魚,5,16,ㄅㄧˋ
00358,佛,人,5,7,(二)ㄅㄧˋ
00359,拂,手,5,8,(二)ㄅㄧˋ
00360,費,貝,5,12,(二)ㄅㄧˋ
00361,鄪,邑,12,15,ㄅㄧˋ
00362,畀,田,3,8,ㄅㄧˋ
00363,痹,疒,8,13,ㄅㄧˋ
00364,箅,竹,8,14,ㄅㄧˋ
00365,襣,衣,14,20,ㄅㄧˋ
00366,俾,人,8,10,(一)ㄅㄧˋ
00367,庳,广,8,11,(一)ㄅㄧˋ
00368,埤,土,8,11,(二)ㄅㄧˋ
00369,婢,女,8,11,(一)ㄅㄧˋ
00370,萆,艸,8,12,(二)ㄅㄧˋ
00371,痺,疒,8,13,ㄅㄧˋ
00372,睥,目,8,13,ㄅㄧˋ
00373,裨,衣,8,14,(一)ㄅㄧˋ
00374,綼,糸,8,14,ㄅㄧˋ
00375,髀,骨,8,18,ㄅㄧˋ
00376,敝,攴,7,11,ㄅㄧˋ
00377,弊,廾,11,14,ㄅㄧˋ
00378,幣,巾,11,14,ㄅㄧˋ
00379,蔽,艸,11,15,(一)ㄅㄧˋ
00380,斃,攴,13,17,ㄅㄧˋ
00381,鷩,鳥,11,22,(一)ㄅㄧˋ
00382,閉,門,3,11,ㄅㄧˋ
00383,畢,田,6,11,ㄅㄧˋ
00384,嗶,口,11,14,ㄅㄧˋ
00385,彃,弓,11,14,ㄅㄧˋ
00386,蓽,艸,11,15,ㄅㄧˋ
00387,篳,竹,11,17,ㄅㄧˋ
00388,縪,糸,11,17,ㄅㄧˋ
00389,蹕,足,11,18,ㄅㄧˋ
00390,饆,食,11,19,ㄅㄧˋ
00391,韠,韋,11,20,ㄅㄧˋ
00392,湢,水,9,12,ㄅㄧˋ
00393,愊,心,9,12,ㄅㄧˋ
00394,揊,手,9,12,ㄅㄧˋ
00395,煏,火,9,13,ㄅㄧˋ
00396,楅,木,9,13,(二)（又音）ㄅㄧˋ
00397,逼,辵,9,13,(二)（又音）ㄅㄧˋ
00398,腷,肉,9,13,ㄅㄧˋ
00399,詖,言,5,12,ㄅㄧˋ
00400,跛,足,5,12,(二)ㄅㄧˋ
00401,髲,髟,5,15,ㄅㄧˋ
00402,骳,骨,5,15,ㄅㄧˋ
00403,愎,心,9,12,ㄅㄧˋ
00404,賁,貝,5,12,(一)ㄅㄧˋ
00405,皕,白,7,12,ㄅㄧˋ
00406,弼,弓,9,12,ㄅㄧˋ
00407,辟,辛,6,13,(一)ㄅㄧˋ
00408,廦,广,13,16,ㄅㄧˋ
00409,壁,土,13,16,ㄅㄧˋ
00410,嬖,女,13,16,ㄅㄧˋ
00411,薜,艸,13,17,(一)ㄅㄧˋ
00412,避,辵,13,17,(一)ㄅㄧˋ
00413,臂,肉,13,17,(一)ㄅㄧˋ
00414,璧,玉,13,18,ㄅㄧˋ
00415,襞,衣,13,19,ㄅㄧˋ
00416,繴,糸,13,19,ㄅㄧˋ
00417,躄,足,13,20,ㄅㄧˋ
00418,碧,石,9,14,ㄅㄧˋ
00419,鄙,邑,11,14,(二)（又音）ㄅㄧˋ
00420,觱,角,9,16,ㄅㄧˋ
00421,贔,貝,14,21,ㄅㄧˋ
00422,憋,心,11,15,ㄅㄧㄝ
00423,鷩,鳥,11,22,(二)（又音）ㄅㄧㄝ
00424,鱉,魚,11,22,ㄅㄧㄝ
00425,別,刀,5,7,ㄅㄧㄝˊ
00426,莂,艸,7,11,ㄅㄧㄝˊ
00427,咇,口,5,8,(一)ㄅㄧㄝˊ
00428,蛂,虫,5,11,ㄅㄧㄝˊ
00429,襒,衣,11,17,ㄅㄧㄝˊ
00430,蹩,足,11,18,ㄅㄧㄝˊ
00431,癟,疒,14,19,ㄅㄧㄝˇ
00432,彆,弓,11,14,ㄅㄧㄝˋ
00433,杓,木,3,7,(一)ㄅㄧㄠ
00434,髟,髟,0,10,(一)ㄅㄧㄠ
00435,彪,虍,5,11,ㄅㄧㄠ
00436,颩,風,3,12,(一)ㄅㄧㄠ
00437,滮,水,11,14,ㄅㄧㄠ
00438,猋,犬,8,12,ㄅㄧㄠ
00439,飆,風,12,21,ㄅㄧㄠ
00440,摽,手,11,14,(一)ㄅㄧㄠ
00441,熛,火,11,15,ㄅㄧㄠ
00442,標,木,11,15,(一)ㄅㄧㄠ
00443,蔈,艸,11,15,ㄅㄧㄠ
00444,膘,肉,11,15,ㄅㄧㄠ
00445,瘭,疒,11,16,ㄅㄧㄠ
00446,鏢,金,11,19,ㄅㄧㄠ
00447,颮,風,5,14,(一)ㄅㄧㄠ
00448,麃,鹿,4,15,(一)ㄅㄧㄠ
00449,儦,人,15,17,ㄅㄧㄠ
00450,瀌,水,15,18,ㄅㄧㄠ
00451,藨,艸,15,19,ㄅㄧㄠ
00452,臕,肉,15,19,ㄅㄧㄠ
00453,穮,禾,15,20,ㄅㄧㄠ
00454,鑣,金,15,23,ㄅㄧㄠ
00455,爂,火,15,19,ㄅㄧㄠ
00456,表,衣,3,8,ㄅㄧㄠˇ
00457,俵,人,8,10,ㄅㄧㄠˇ
00458,婊,女,8,11,ㄅㄧㄠˇ
00459,裱,衣,8,14,ㄅㄧㄠˇ
00460,錶,金,8,16,ㄅㄧㄠˇ
00461,褾,衣,11,17,ㄅㄧㄠˇ
00462,摽,手,11,14,(三)ㄅㄧㄠˋ
00463,鰾,魚,11,22,ㄅㄧㄠˋ
00464,砭,石,5,10,ㄅㄧㄢ
00465,猵,犬,9,12,(一)ㄅㄧㄢ
00466,楄,木,9,13,(二)（又音）ㄅㄧㄢ
00467,蝙,虫,9,15,(一)ㄅㄧㄢ
00468,編,糸,9,15,ㄅㄧㄢ
00469,鯿,魚,9,20,ㄅㄧㄢ
00470,箯,竹,9,15,ㄅㄧㄢ
00471,鞭,革,9,18,ㄅㄧㄢ
00472,邊,辵,15,19,ㄅㄧㄢ
00473,籩,竹,19,25,ㄅㄧㄢ
00474,扁,戶,5,9,(一)ㄅㄧㄢˇ
00475,匾,匸,9,11,ㄅㄧㄢˇ
00476,惼,心,9,12,ㄅㄧㄢˇ
00477,萹,艸,9,13,(二)ㄅㄧㄢˇ
00478,碥,石,9,14,ㄅㄧㄢˇ
00479,稨,禾,9,14,ㄅㄧㄢˇ
00480,褊,衣,9,15,(二)ㄅㄧㄢˇ
00481,蝙,虫,9,15,(二)（又音）ㄅㄧㄢˇ
00482,窆,穴,5,10,ㄅㄧㄢˇ
00483,貶,貝,5,12,ㄅㄧㄢˇ
00484,卞,卜,2,4,ㄅㄧㄢˋ
00485,汴,水,4,7,ㄅㄧㄢˋ
00486,忭,心,4,7,ㄅㄧㄢˋ
00487,抃,手,4,7,ㄅㄧㄢˋ
00488,苄,艸,4,8,ㄅㄧㄢˋ
00489,弁,廾,2,5,(一)ㄅㄧㄢˋ
00490,閞,門,5,13,ㄅㄧㄢˋ
00491,鴘,鳥,5,16,ㄅㄧㄢˋ
00492,釆,釆,0,7,ㄅㄧㄢˋ
00493,便,人,7,9,(一)ㄅㄧㄢˋ
00494,緶,糸,9,15,(一)ㄅㄧㄢˋ
00495,遍,辵,9,13,(一)（讀音）ㄅㄧㄢˋ
00496,艑,舟,9,15,ㄅㄧㄢˋ
00497,辡,辛,7,14,ㄅㄧㄢˋ
00498,辨,辛,9,16,ㄅㄧㄢˋ
00499,辮,糸,14,20,ㄅㄧㄢˋ
00500,辯,辛,14,21,ㄅㄧㄢˋ
00501,變,言,16,23,ㄅㄧㄢˋ
00502,汃,水,2,5,(二)ㄅㄧㄣ
00503,份,人,4,6,(二)ㄅㄧㄣ
00504,邠,邑,4,7,ㄅㄧㄣ
00505,玢,玉,4,8,ㄅㄧㄣ
00506,彬,彡,8,11,ㄅㄧㄣ
00507,斌,文,8,12,ㄅㄧㄣ
00508,稟,禾,8,13,(二)（又音）ㄅㄧㄣ
00509,賓,貝,7,14,(一)ㄅㄧㄣ
00510,儐,人,14,16,(二)ㄅㄧㄣ
00511,濱,水,14,17,ㄅㄧㄣ
00512,檳,木,14,18,(一)ㄅㄧㄣ
00513,蠙,虫,14,20,(二)（又音）ㄅㄧㄣ
00514,繽,糸,14,20,ㄅㄧㄣ
00515,鑌,金,14,22,ㄅㄧㄣ
00516,豳,豕,10,17,ㄅㄧㄣ
00517,瀕,水,16,19,(一)ㄅㄧㄣ
00518,賓,貝,7,14,(二)ㄅㄧㄣˋ
00519,儐,人,14,16,(一)ㄅㄧㄣˋ
00520,擯,手,14,17,ㄅㄧㄣˋ
00521,殯,歹,14,18,ㄅㄧㄣˋ
00522,臏,肉,14,18,ㄅㄧㄣˋ
00523,鬢,髟,14,24,ㄅㄧㄣˋ
00524,髕,骨,14,24,ㄅㄧㄣˋ
00525,冫,冫,0,2,ㄅㄧㄥ
00526,并,干,3,6,(二)ㄅㄧㄥ
00527,屏,尸,6,9,(三)ㄅㄧㄥ
00528,栟,木,6,10,(一)ㄅㄧㄥ
00529,冰,冫,4,6,ㄅㄧㄥ
00530,兵,八,5,7,ㄅㄧㄥ
00531,掤,手,8,11,ㄅㄧㄥ
00532,檳,木,14,18,(二)（又音）ㄅㄧㄥ
00533,丙,一,4,5,ㄅㄧㄥˇ
00534,怲,心,5,8,ㄅㄧㄥˇ
00535,邴,邑,5,8,ㄅㄧㄥˇ
00536,炳,火,5,9,ㄅㄧㄥˇ
00537,柄,木,5,9,(一)ㄅㄧㄥˇ
00538,昺,日,5,9,ㄅㄧㄥˇ
00539,秉,禾,3,8,ㄅㄧㄥˇ
00540,屏,尸,6,9,(二)ㄅㄧㄥˇ
00541,迸,辵,6,10,(二)ㄅㄧㄥˇ
00542,鉼,金,6,14,ㄅㄧㄥˇ
00543,餅,食,6,14,ㄅㄧㄥˇ
00544,稟,禾,8,13,(一)ㄅㄧㄥˇ
00545,鞞,革,8,17,(一)ㄅㄧㄥˇ
00546,并,干,3,6,(一)ㄅㄧㄥˋ
00547,併,人,6,8,ㄅㄧㄥˋ
00548,偋,人,9,11,ㄅㄧㄥˋ
00549,摒,手,9,12,ㄅㄧㄥˋ
00550,並,一,7,8,(一)ㄅㄧㄥˋ
